class,physiological_width,aspect_ratio,rectangularity,eccentricity,hue,value,correlation 90,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135,dissimilarity 0,dissimilarity 45,dissimilarity 90,dissimilarity 135,contrast 0,contrast 45,contrast 90,contrast 135,ASM 0,ASM 45,ASM 90,ASM 135,energy 0,energy 45,energy 90,energy 135,entropy 0,entropy 45,entropy 90,entropy 135
1,357,0.770308123,1.484598285,0.637671855,34.92701808,217.2998217,0.866107946,0.349197125,0.341716102,0.352089451,0.337864125,12.25850192,12.30238441,11.16018595,12.59994982,507.5898641,509.5878971,420.8307851,502.8661342,0.085153747,0.081984618,0.08809677,0.082137186,0.291811149,0.286329561,0.296811001,0.286595858,1.264706595,1.2543595,1.227706234,1.261610089
1,405,0.740740741,1.370025202,0.671791005,38.76441152,201.6283621,0.88851764,0.29311605,0.2952425,0.310131528,0.290531191,15.13124922,14.15504314,12.06283333,14.98673081,767.536087,704.3528763,532.6218,782.4939425,0.058446367,0.055683691,0.059756921,0.05565833,0.241756834,0.23597392,0.244452289,0.235920177,1.777830337,1.722338642,1.639633743,1.758353637
1,373,0.774798928,1.655677149,0.632207736,28.5401078,206.3081626,0.881475738,0.402092679,0.396497517,0.40680862,0.396474883,13.6746309,13.82234584,12.97416128,13.92127609,667.7967281,680.6446346,608.9212051,663.6533923,0.131071379,0.127839567,0.13470055,0.127744396,0.362037815,0.357546594,0.367015736,0.357413481,1.53373867,1.525047596,1.529467437,1.545249551
1,347,0.855907781,1.515116766,0.517128485,27.12006715,179.4776487,0.902910384,0.369025927,0.356456097,0.367551171,0.364314615,12.95939758,13.92374053,12.75352945,12.77316192,784.7455095,856.160121,775.6441314,777.3683718,0.096721575,0.092129853,0.096146683,0.092693262,0.311000924,0.303528998,0.310075285,0.304455681,1.403053079,1.417926339,1.382915148,1.371106619
1,439,0.583143508,1.729250654,0.812369158,19.52350868,218.4378114,0.893940324,0.444134544,0.443487364,0.457038625,0.439823054,9.856764287,9.423973727,8.406240999,10.08367086,406.9666936,368.674293,311.5705375,426.9697136,0.151554206,0.149671589,0.158284642,0.149748458,0.389299635,0.386874126,0.397850024,0.386973458,1.238219164,1.220869669,1.197129617,1.238695976
1,379,0.744063325,1.534798561,0.6681091,35.29990269,222.3770935,0.90584938,0.388169191,0.391480395,0.422672444,0.395293339,10.1922978,9.577333333,7.147390678,9.237784173,442.7053523,425.5387722,261.9469697,386.3476739,0.099751494,0.097673178,0.103672054,0.097160671,0.315834599,0.312527084,0.32198145,0.311706065,1.302402301,1.279813393,1.121821331,1.247832427
1,373,0.737265416,1.502501117,0.675603217,35.44711674,218.4946819,0.894465454,0.347891345,0.347523106,0.376937864,0.35293529,12.46986397,12.34507345,9.151383399,11.06216062,528.750988,533.5914859,336.0285573,457.9776498,0.088283374,0.085531945,0.092431627,0.085627154,0.297125182,0.292458451,0.304025702,0.292621178,1.453108291,1.45782975,1.309182075,1.361163804
1,365,0.739726027,1.487681903,0.672908169,28.19923896,185.0465145,0.85523352,0.327196185,0.322568402,0.332778503,0.321245217,19.24642026,19.74591257,18.43883745,19.44809739,1054.084218,1116.904182,983.9298663,1063.24963,0.086687105,0.083191476,0.089260752,0.083551228,0.29442674,0.288429326,0.298765379,0.289052292,1.932138192,1.948321942,1.937613029,1.91732484
1,431,0.675174014,1.682678956,0.737658492,36.61496879,194.6957049,0.912665104,0.403961713,0.412654162,0.429869977,0.400265654,16.06734217,14.14603138,12.10550474,15.96589119,1116.620779,984.4286938,698.6422648,1062.085125,0.131845575,0.129743859,0.139653457,0.130143087,0.36310546,0.360199749,0.373702364,0.360753498,1.960588888,1.88045222,1.879747325,1.970701331
1,397,0.753148615,1.463012719,0.657850412,41.79612984,198.0518016,0.924103246,0.340745074,0.343451547,0.385116248,0.349068535,13.32161278,12.18419804,9.163333561,12.50508475,735.4084203,638.6893432,455.4649853,716.0638202,0.080626223,0.078451334,0.083807796,0.078228272,0.28394757,0.280091652,0.289495762,0.279693174,1.726037666,1.65835081,1.494581547,1.700501114
1,358,0.695530726,1.78720077,0.718496353,40.62182809,205.7473021,0.891591104,0.349468272,0.34992637,0.384514341,0.353188372,20.33184129,18.6734348,12.93581123,18.40404704,1351.577812,1207.384354,732.1823157,1270.992494,0.104218956,0.101455842,0.111067947,0.101853639,0.322829608,0.318521337,0.33326858,0.31914517,2.132009764,2.091456494,1.878240231,2.050373961
1,384,0.78125,1.499814476,0.624218261,27.14440972,180.7000781,0.925445067,0.367916282,0.363222446,0.383473139,0.369969537,11.83186794,11.64234531,9.971064204,11.46446479,638.5621999,619.3278716,541.2726825,650.5730174,0.093231464,0.090160569,0.094656268,0.090062918,0.305338278,0.300267495,0.307662588,0.300104845,1.411851259,1.392770247,1.304406717,1.382628066
1,393,0.740458015,1.530420935,0.672102617,34.0222537,209.8401056,0.921358339,0.396976103,0.407580764,0.439036182,0.400342201,9.071317995,8.246885161,6.58622064,8.83898677,425.2244346,380.0691042,298.1299554,421.9216341,0.098144058,0.096121897,0.102210842,0.095492812,0.31327952,0.310035316,0.319704305,0.309019113,1.008416268,0.988386536,0.874761187,1.003090734
1,367,0.716621253,1.421422733,0.697462529,40.52424861,181.5769832,0.908351696,0.352975541,0.347722161,0.367215055,0.34715082,11.50592485,11.18871055,9.449845598,11.46278864,856.6953087,859.2618037,660.6525219,812.6437878,0.067820636,0.065592947,0.070967291,0.064513064,0.260423954,0.256111201,0.266396868,0.253994221,1.06268291,1.048854791,1.011548338,1.015258075
1,352,0.758522727,1.466437822,0.651646585,41.46065288,207.3240445,0.867948908,0.341160897,0.329925185,0.340807292,0.33044457,13.02763923,13.47800577,12.3836199,13.52127311,634.2465627,659.999552,568.9791579,644.8783379,0.079177047,0.076320634,0.08275364,0.076017753,0.281384162,0.276261894,0.287669324,0.275713172,1.438640677,1.440672484,1.422252487,1.430597242
1,318,0.748427673,1.499985136,0.663216419,27.29645632,199.695246,0.913860339,0.377937541,0.379512123,0.410939556,0.384702636,9.751977218,9.220466547,7.410704218,9.250544395,496.5898588,464.4769857,371.887548,490.5936768,0.088192014,0.084809018,0.091701467,0.085023356,0.296971402,0.291219879,0.3028225,0.291587646,0.747193715,0.736940871,0.654680966,0.744268913
1,378,0.746031746,1.52753536,0.66591038,38.17902173,213.6698,0.866768363,0.3470174,0.34683488,0.36108006,0.340684066,15.79943843,14.82986766,13.17582188,15.83156042,810.6333543,763.083686,579.9049303,781.7631766,0.093323122,0.090071422,0.098270964,0.090871627,0.305488334,0.300119013,0.313482,0.301449212,1.801880046,1.759042862,1.734581073,1.797099971
1,358,0.75698324,1.58387684,0.653434292,38.29787256,189.6618978,0.929995695,0.439891287,0.44372409,0.47880174,0.446702866,10.7386903,10.12012527,6.796096715,9.910810639,953.5408493,892.2230263,524.0550997,866.7434774,0.104942007,0.103133488,0.114773504,0.103005898,0.323947538,0.321144031,0.338782384,0.32094532,0.599731393,0.585476796,0.516290941,0.577967834
1,373,0.761394102,1.633618629,0.648289304,39.39631084,197.229383,0.86938576,0.418606481,0.410115757,0.417441863,0.404018552,13.55323013,13.41334688,12.08338755,13.86241773,1096.583682,1044.870354,881.6721429,1073.326258,0.117927163,0.116522292,0.12525851,0.11579207,0.343405246,0.341353618,0.35391879,0.340282339,0.818583929,0.818823905,0.812442953,0.807885099
1,346,0.817919075,1.531907571,0.575333283,37.06119406,195.8883964,0.886372285,0.359220498,0.360211731,0.386037706,0.359654644,15.75548925,14.55425601,11.74587319,15.07732294,1136.465973,1012.911275,750.2886542,1101.444465,0.092318431,0.089642263,0.099705542,0.089952699,0.303839483,0.299403177,0.315761844,0.299921155,1.378004318,1.311642568,1.295696938,1.362962352
1,384,0.78125,1.354967331,0.624218261,49.40640625,185.6167795,0.90707721,0.307553045,0.306682315,0.318612304,0.299450298,11.39939089,11.01918563,10.00971856,11.91034851,574.5306232,573.2591216,505.1872383,622.5253912,0.053683784,0.051251989,0.055135378,0.050687721,0.231697613,0.226389022,0.234809237,0.225139337,0.992649873,0.985062023,0.973045972,1.007396309
